,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,year,month,partial_date,clean_date,weekofday
9932935,23339508,2019-08-10 00:00:00,f,198.0,$198.00,1.0,1125.0,2019,8,08-10,2019-08-10,Sat
8926991,21817657,2019-07-28 00:00:00,t,72.0,$72.00,2.0,20.0,2019,7,07-28,2019-07-28,Sun
5694389,16122228,2020-01-27 00:00:00,f,160.0,$160.00,1.0,1125.0,2020,1,01-27,2020-01-27,Mon
11180529,25357098,2019-11-10 00:00:00,f,149.0,$149.00,1.0,21.0,2019,11,11-10,2019-11-10,Sun
7778018,20121495,2019-07-30 00:00:00,f,73.0,$73.00,2.0,1125.0,2019,7,07-30,2019-07-30,Tue
11328206,25522763,2019-08-26 00:00:00,f,65.0,$65.00,3.0,1125.0,2019,8,08-26,2019-08-26,Mon
998722,2621408,2019-06-22 00:00:00,f,32.0,$32.00,2.0,7.0,2019,6,06-22,2019-06-22,Sat
6579827,18008926,2019-09-08 00:00:00,t,45.0,$45.00,1.0,1125.0,2019,9,09-08,2019-09-08,Sun
1123651,2950808,2019-07-09 00:00:00,t,39.0,$39.00,1.0,1125.0,2019,7,07-09,2019-07-09,Tue
12186397,27232001,2020-01-26 00:00:00,t,225.0,$225.00,1.0,1125.0,2020,1,01-26,2020-01-26,Sun
8914145,21813672,2019-11-18 00:00:00,f,40.0,$40.00,1.0,15.0,2019,11,11-18,2019-11-18,Mon
825260,1724823,2019-04-22 00:00:00,t,115.0,$115.00,2.0,28.0,2019,4,04-22,2019-04-22,Mon
2332040,6491002,2019-04-10 00:00:00,t,99.0,$99.00,1.0,1125.0,2019,4,04-10,2019-04-10,Wed
13042075,28469740,2019-03-17 00:00:00,f,45.0,$45.00,1.0,31.0,2019,3,03-17,2019-03-17,Sun
13432378,29007593,2020-01-15 00:00:00,t,169.0,$169.00,1.0,1125.0,2020,1,01-15,2020-01-15,Wed
15505105,31566441,2019-06-14 00:00:00,f,95.0,$95.00,1.0,1125.0,2019,6,06-14,2019-06-14,Fri
14608815,30514711,2019-12-17 00:00:00,t,237.0,$237.00,3.0,90.0,2019,12,12-17,2019-12-17,Tue
12004305,26901785,2019-04-30 00:00:00,f,265.0,$265.00,3.0,62.0,2019,4,04-30,2019-04-30,Tue
6164401,17172428,2019-10-16 00:00:00,t,58.0,$58.00,1.0,1125.0,2019,10,10-16,2019-10-16,Wed
5669005,16028672,2019-08-21 00:00:00,t,265.0,$265.00,30.0,1125.0,2019,8,08-21,2019-08-21,Wed
4327618,13066306,2019-10-10 00:00:00,f,149.0,$149.00,3.0,180.0,2019,10,10-10,2019-10-10,Thr
632098,1423375,2019-10-23 00:00:00,t,560.0,$560.00,4.0,30.0,2019,10,10-23,2019-10-23,Wed
4038075,12310287,2019-10-16 00:00:00,t,150.0,$150.00,5.0,360.0,2019,10,10-16,2019-10-16,Wed
2564653,7227023,2019-08-26 00:00:00,f,99.0,$99.00,1.0,1125.0,2019,8,08-26,2019-08-26,Mon
576921,1214414,2019-06-30 00:00:00,t,55.0,$55.00,1.0,1125.0,2019,6,06-30,2019-06-30,Sun
14613767,30514890,2019-10-17 00:00:00,f,10.0,$10.00,1.0,28.0,2019,10,10-17,2019-10-17,Thr
9411351,22498782,2019-05-04 00:00:00,t,48.0,$48.00,1.0,1125.0,2019,5,05-04,2019-05-04,Sat
14848905,30777849,2019-06-06 00:00:00,f,150.0,$150.00,2.0,1125.0,2019,6,06-06,2019-06-06,Thr
6644946,18112402,2019-09-21 00:00:00,f,175.0,$175.00,7.0,31.0,2019,9,09-21,2019-09-21,Sat
13817725,29518548,2019-05-02 00:00:00,t,88.0,$88.00,2.0,30.0,2019,5,05-02,2019-05-02,Thr
9674400,22848686,2019-12-17 00:00:00,f,40.0,$40.00,1.0,1125.0,2019,12,12-17,2019-12-17,Tue
14569521,30467664,2019-02-05 00:00:00,f,1895.0,"$1,895.00",7.0,1125.0,2019,2,02-05,2019-02-05,Tue
11305884,25548423,2019-12-12 00:00:00,f,151.0,$151.00,1.0,12.0,2019,12,12-12,2019-12-12,Thr
6122699,16927767,2019-12-12 00:00:00,t,900.0,$900.00,6.0,1125.0,2019,12,12-12,2019-12-12,Thr
121670,239112,2019-03-15 00:00:00,t,45.0,$45.00,1.0,7.0,2019,3,03-15,2019-03-15,Fri
13772542,29455439,2019-12-08 00:00:00,f,400.0,$400.00,2.0,1125.0,2019,12,12-08,2019-12-08,Sun
